movie_id,genres,runtime_minutes,start_year,primary_title,numvotes,averagerating,rating_category
tt0433533,Drama,100.0,2012,Caleuche: El llamado del Mar,168,5.2,Average
tt0433787,Drama,95.0,2012,L'apocalisse delle scimmie,11,6.9,Average
tt0435651,Drama,97.0,2014,The Giver,104999,6.5,Average
tt0435761,Adventure,103.0,2010,Toy Story 3,682218,8.3,Good
tt0436230,Horror,95.0,2010,Mexican Devil,34,6.7,Average
tt0436782,Documentary,122.0,2013,A Life in the Death of Joe Meek,24,9.1,Good
tt0437086,Action,122.0,2019,Alita: Battle Angel,88207,7.5,Good
tt0439724,Drama,95.0,2011,Moving Target,26,7.5,Good
tt0439801,Action,86.0,2010,Segurança Nacional,260,3.3,Bad
tt0441779,Documentary,90.0,2010,My Nappy Roots: A Journey Through Black Hair-itage,16,7.3,Good
tt0443272,Biography,150.0,2012,Lincoln,228701,7.4,Good
tt0443331,Drama,109.0,2010,Milenge Milenge,1571,4.1,Average
tt0443465,Comedy,95.0,2014,Before We Go,45181,6.8,Average
tt0443533,Drama,134.0,2016,The History of Love,1024,6.3,Average
tt0444531,Drama,115.0,2010,Vidas pequeñas,68,6.0,Average
tt0445054,Crime,105.0,2010,7 Days,6705,6.5,Average
tt0446029,Action,112.0,2010,Scott Pilgrim vs. the World,339338,7.5,Good
tt0446686,Drama,95.0,2010,Dream Street,17,5.1,Average
tt0446792,Comedy,95.0,2019,Surviving in L.A.,12,8.7,Good
tt0448022,Drama,108.0,2011,A Bird of the Air,1061,6.6,Average
tt0448115,Action,132.0,2019,Shazam!,109051,7.4,Good
tt0448694,Action,90.0,2011,Puss in Boots,133355,6.6,Average
tt0449005,Comedy,92.0,2010,Diary of a Bad Lad,144,4.0,Bad
tt0451108,Drama,98.0,2010,Mad World,313,6.3,Average
tt0451154,Horror,92.0,2011,The Passing,174,3.4,Bad
tt0451201,Horror,95.0,2017,Clawed,363,5.8,Average
tt0451279,Action,141.0,2017,Wonder Woman,487527,7.5,Good
tt0452183,Comedy,83.0,2013,Blunt Movie,77,6.4,Average
tt0452664,Comedy,88.0,2012,Party Crashers,907,5.4,Average
tt0453562,Biography,128.0,2013,42,77703,7.5,Good
tt0454155,Comedy,85.0,2010,El hada buena - Una fábula peronista,19,6.4,Average
tt0454876,Adventure,127.0,2012,Life of Pi,535836,7.9,Good
tt0455323,Drama,102.0,2012,Being Flynn,15780,6.4,Average
tt0455407,Horror,101.0,2010,The Crazies,104465,6.5,Average
tt0455944,Action,132.0,2014,The Equalizer,302302,7.2,Good
tt0457591,Drama,113.0,2010,Memorias del desarrollo,58,7.0,Average
tt0458339,Action,124.0,2011,Captain America: The First Avenger,668137,6.9,Average
tt0458413,Comedy,96.0,2014,A Long Way Down,29260,6.4,Average
tt0458481,Crime,102.0,2014,Sin City: A Dame to Kill For,140666,6.5,Average
tt0459748,Comedy,112.0,2011,Generation P,3358,6.8,Average
tt0460528,Documentary,56.0,2012,One Step Beyond: The True Story of Géraldine Fasnacht,26,8.5,Good
tt0460778,Drama,98.0,2010,Drunkboat,555,4.9,Average
tt0460809,Drama,114.0,2011,The Grasslands,17,8.6,Good
tt0460890,Drama,89.0,2017,The Only Living Boy in New York,8727,6.3,Average
tt0460957,Documentary,60.0,2012,Texxas Jam '78,8,8.5,Good
tt0461336,Adventure,105.0,2011,Saving Private Perez,1727,6.0,Average
tt0462036,Drama,110.0,2012,Steve Phoenix: The Untold Story,18,5.5,Average
tt0462335,Drama,119.0,2015,High-Rise,33746,5.6,Average
tt0462516,Horror,94.0,2010,Satan Hates You,205,4.6,Average
tt0463311,Drama,91.0,2010,Federal,374,3.2,Bad
tt0463960,Mystery,76.0,2013,The Devil You Know,1470,3.6,Bad
tt0464032,Action,123.0,2010,"Guns, Drugs and Dirty Money",39,8.0,Good
tt0464054,Horror,91.0,2014,House at the End of the Drive,331,6.5,Average
tt0464154,Comedy,88.0,2010,Piranha 3D,81327,5.4,Average
tt0464162,Action,163.0,2010,Komaram Puli,1423,3.8,Bad
tt0464891,Comedy,101.0,2011,Act Your Age,85,6.5,Average
tt0465637,Action,90.0,2010,Taken by Force,33,7.8,Good
tt0466553,Musical,95.0,2010,Golapi Ekhon Bilatey,25,7.8,Good
tt0466893,Drama,150.0,2011,Margaret,14708,6.5,Average
tt0469021,Action,90.0,2013,Alan Partridge,27986,6.9,Average
tt0469094,Comedy,81.0,2010,Harlem Hostel,128,4.1,Average
tt0469152,Drama,84.0,2011,Smoking/Non-Smoking,88,7.2,Good
tt0469158,Action,95.0,2011,Platinum Illusions,31,6.6,Average
tt0470752,Drama,108.0,2014,Ex Machina,424542,7.7,Good
tt0470936,Drama,104.0,2016,"Hot Country, Cold Winter",62,4.0,Bad
